Rank,Name,Location,Year,Category,Damage(millions)
1,Katrina,LA/MS/FL,2005,3,105840
2,Andrew,FL/LA,1992,5,45561
3,Ike,TX/LA,2008,2,27790
4,Wilma,FL/LA,2005,3,20587
5,Ivan,FL/AL,2004,3,19832
6,Charley,FL,2004,4,15820
7,Hugo,SC,1989,4,12775
8,Rita,LA/TX/FL,2005,3,11797
9,Agnes,FL/MA/CT/RI/ME/NH,1972,1,11760
10,Betsy,FL/LA,1965,3,11227
11,Allison,TX,2001,TS,10998
12,Frances,FL,2004,2,10018
13,Camille,MS/LA/VA,1969,5,9282
14,Floyd,MA/CT/RI/ME/NH,1999,2,9225
15,Jeane,FL,2004,3,8072
16,Opal,FL/AL,1995,3,7729
17,Diane,MA/CT/RI/ME/NH,1955,1,7408
18,Frederic,AL/MS,1979,3,6571
19,the Long Island Express,MA/CT/RI/ME/NH,1938,3,6325
20,Fran,NC,1996,3,6140
21,Isabels,NC/VA,2003,2,6112
22,Celia,TX,1970,3,5918
23,The Great Atlantic Hurricane,MA/CT/RI/ME/NH,1944,3,5706
24,Alicia,TX,1983,3,4569
25,Gustav,LA,2008,2,4347
26,Carol,MA/CT/RI/ME/NH,1954,3,4175
27,Georges,FL/LA/MS,1998,2,3860
28,Juan,LA,1985,1,3238
29,Donna,FL,1960,4,3215
30,Bob,NC/MA/CT/RI/ME/NH/MD/NY/NJ,1991,2,2703
